STOPCODE,stop_name,total_boardings,n_route_dir_qhr_rows
11385,ROYAL COLLEGE STREET / IVOR STREET,93.03208000000001,76
11389,KENTISH TOWN ROAD,25.134619999999998,76
11391,KENTISH TOWN POST OFFICE,1073.02286,381
11392,KENTISH TOWN POST OFFICE,1074.84105,362
11393,GREENWOOD CENTRE,267.96393,189
11394,FORTESS ROAD,103.44665,183
11395,LADY SOMERSET ROAD,64.20456,188
11396,GREENWOOD CENTRE,142.59534,185
11399,LADY SOMERSET ROAD,185.39822,184
114,COMPAYNE GARDENS,130.20267,177
11400,GORDON HOUSE ROAD,65.70334,187
11401,GORDON HOUSE ROAD,736.1873,262
11404,WILLIAM ELLIS SCHOOL,183.8833,261
11405,WILLIAM ELLIS SCHOOL,410.24172,265
11406,PARLIAMENT HILL FIELDS,241.85196,263
11407,PARLIAMENT HILL FIELDS,617.11875,191
11408,FORTESS WALK,265.87471,117
11409,FORTESS WALK,74.99974,102
11412,LADY SOMERSET ROAD,57.46148,118
11413,LADY SOMERSET ROAD,126.32678,106
11416,MONNERY ROAD,114.61375,215
11417,MONNERY ROAD,193.95054,203
11419,PEMBERTON GARDENS,356.31475,205
1142,WOOD LANE / HIGHGATE STATION,2369.09995,184
11420,PEMBERTON GARDENS,114.08007,215
11427,FERDINAND STREET,81.80008,96
11428,FERDINAND STREET,216.77805,92
1143,WOOD LANE / HIGHGATE STATION,91.73911,184
11431,PRINCE OF WALES ROAD,15.241069999999999,96
11432,PRINCE OF WALES ROAD,475.62748,171
11435,QUEEN'S CRESCENT,233.84354,170
11436,GRAFTON TERRACE,533.8011,170
11437,ST DOMINIC'S PRIORY,320.70352,170
11439,MANSFIELD ROAD,98.3211,169
1144,MUSWELL HILL PRIMARY SCHOOL,308.46824,165
11440,MANSFIELD ROAD,442.4519,245
11442,LAWN ROAD,166.23633,249
11443,ROYAL FREE HOSPITAL,0.0,95
11444,SOUTH END GREEN,594.36261,154
11446,KENTISH TOWN ROAD,90.70722,156
11449,KENTISH TOWN WEST STATION,222.90843,156
1145,MUSWELL HILL,1405.5696599999999,350
11457,BROOMFIELD ROAD,342.88758,225
11458,BROOMFIELD ROAD,59.896829999999994,238
1146,QUEENS AVENUE,1124.44235,355
11461,SURBITON HEALTH CENTRE,177.89239,233
11462,SURBITON HEALTH CENTRE,475.80161,233
11464,SOUTH TERRACE,337.20475,306
11465,HALL DRIVE,359.10018,166
11466,HALL DRIVE,103.74012,167
11469,ST PAUL'S ROAD / HIGHBURY CORNER,1611.70919,432
1147,MUSWELL HILL,1483.41658,354
11470,HIGHBURY CORNER,758.53391,423
11471,CRESSWELL GARDENS,49.132949999999994,155
11472,CRESSWELL GARDENS,104.52416,155
11476,NEVERN PLACE,368.41682,361
1148,QUEENS AVENUE,1009.34933,185
11481,GROSVENOR PARK ROAD,1178.89233,833
11482,ST SAVIOUR'S CHURCH,495.63369,175
11487,LLOYD PARK / WILLIAM MORRIS GALLERY,208.79309,113
11490,FRIARY ROAD,219.19858,157
11491,CARLISLE AVENUE,103.49158,157
11495,PERRYN ROAD,114.99764,158
11497,FRIARY ROAD,19.96623,81
115,EXHIBITION ROAD,247.47337,261
11500,WALES FARM ROAD,32.41863,79
11501,HILARY ROAD,72.33539,226
11502,ST SAVIOUR'S CHURCH,143.08106999999998,229
11503,UXBRIDGE ROAD,150.99699,228
11506,GLENDUN ROAD,32.43893,92
11507,KING FAHAD ACADEMY,77.87499,86
1151,PONT STREET,722.37944,441
11510,SHAA ROAD,59.40754,94
11511,SHAA ROAD,91.20188,88
11514,ACTON PARK / GREENVIEW CLOSE,133.49531,97
11515,ACTON PARK / GREENVIEW CLOSE,41.31144,89
11517,CHURCH STREET MARKET,1003.45412,284
11518,SUTHERLAND AVENUE,480.90877,353
11519,CARLTON VALE,263.73544,194
1152,ST PAUL'S CHURCHYARD,670.51109,465
11522,CHEPSTOW CRESCENT,223.35349,354
11523,CHEPSTOW CRESCENT,277.40168,366
11527,WESTBOURNE GROVE / COLVILLE ROAD,135.25961,93
11528,COLVILLE ROAD,40.09489,95
11531,STANLEY GARDENS,73.31197,171
11532,CHEPSTOW VILLAS,174.98269,169
11533,PORTOBELLO AND GOLBORNE MARKET,270.55832,264
11534,PORTOBELLO AND GOLBORNE MARKET,626.67278,169
11535,BLENHEIM CRESCENT,203.88644,343
11537,POWIS GARDENS,269.05715,170
11538,POWIS GARDENS,101.01092,164
11539,PORTOBELLO ROAD,436.99852,171
11540,PORTOBELLO ROAD,250.18881,164
11541,CHESTERTON ROAD,343.5203,501
11542,CHESTERTON ROAD,916.87726,498
11543,ST CHARLES SQUARE,226.25205,500
11544,ST CHARLES SQUARE,438.05945,495
11545,BARLBY ROAD,261.97911,499
11546,BARLBY ROAD,731.6442,491
11547,KENSAL HOUSE,641.26772,653
11548,KENSAL HOUSE,1596.49822,643
11550,CAMBRIDGE GARDENS / LADBROKE GROVE,377.94799,178
11551,OXFORD GARDENS,126.75887,173
11552,OXFORD GARDENS,161.59,169
